Age,Height,Weight,Veg_Consump,Water_Consump,Meal_Count,Phys_Act,Time_E_Dev,Gender_Female,Gender_Male,H_Cal_Consump_no,H_Cal_Consump_yes,Alcohol_Consump_Always,Alcohol_Consump_Frequently,Alcohol_Consump_Sometimes,Alcohol_Consump_no,Smoking_no,Smoking_yes,Food_Between_Meals_Always,Food_Between_Meals_Frequently,Food_Between_Meals_Sometimes,Food_Between_Meals_no,Fam_Hist_no,Fam_Hist_yes,H_Cal_Burn_no,H_Cal_Burn_yes,Transport_Automobile,Transport_Bike,Transport_Motorbike,Transport_Public_Transportation,Transport_Walking,Body_Level
22.547298,1.722461,51.881263,2.663421,1.04111,3.0,0.794402,1.391948,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,Body Level 1
19.799054,1.743702,54.927529,2.0,2.847264,3.28926,1.680844,2.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Body Level 1
17.823438,1.708406,50.0,1.642241,1.099231,3.45259,0.418875,1.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
19.007177,1.690727,49.895716,1.212908,1.029703,3.207071,2.0,1.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
19.72925,1.793315,58.19515,2.508835,2.076933,3.435905,2.026668,1.443328,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,Body Level 1
18.470562,1.856406,58.673963,2.34222,2.311791,3.937099,2.013377,1.128355,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,Body Level 1
18.0,1.738702,50.248677,1.871213,1.283738,3.0,0.684879,1.487223,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Body Level 1
29.970445,1.610863,49.516027,2.059138,2.0,3.904858,0.821977,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,Body Level 1
23.444286,1.596466,44.594588,2.594653,1.916812,1.882158,0.417119,0.0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,Body Level 1
20.0,1.64,49.0,3.0,2.0,3.0,2.0,1.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,Body Level 1
18.48207,1.7,50.0,1.592183,1.086391,3.535016,0.618913,1.0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
20.255616,1.534223,41.268597,2.673638,1.249074,2.779379,0.043412,0.403694,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,Body Level 1
18.019572,1.701378,50.088468,1.601236,1.055019,3.433908,0.819269,1.030848,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
16.928791,1.710948,45.248627,2.910733,2.204263,3.12544,2.407906,1.403037,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
17.0,1.8,58.0,2.0,2.0,3.0,2.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,Body Level 1
18.0,1.79,52.0,3.0,2.0,3.0,1.0,1.0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
19.94814,1.530884,39.371523,1.522001,1.98126,3.0,2.306844,0.720454,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
21.0,1.52,42.0,3.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,Body Level 1
17.082867,1.640824,43.365005,2.815157,2.911187,3.0,2.595128,1.380204,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,Body Level 1
20.552695,1.523426,42.0,3.0,1.185062,1.0,0.0,0.076654,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,Body Level 1
18.381382,1.722547,53.783977,2.0,2.072194,3.131032,1.487987,2.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Body Level 1
17.0,1.9,60.0,3.0,2.0,3.0,3.0,1.0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,Body Level 1
17.469417,1.798645,59.612717,2.336044,2.0,4.0,2.0,0.133005,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,Body Level 1
25.380557,1.630379,46.062954,2.690754,2.212296,3.03779,1.616882,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,Body Level 1
22.176922,1.71746,51.491957,2.486189,1.064378,3.0,2.206055,1.958089,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,Body Level 1
24.163526,1.64603,49.839685,3.0,2.7305,3.590039,0.107078,0.0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,Body Level 1
18.0,1.71889,52.058335,1.950742,1.751723,3.0,0.201136,1.743319,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,Body Level 1
18.0,1.84,60.0,3.0,2.0,4.0,2.0,0.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Body Level 1
